0,1,2,3,4,5,6
sj_53c1f48201129f29,"Data Analyst / BI Developer (m/w/d)
- job post",exito GmbH & Co. KG,,,"Deine Aufgaben:
Erstellung von Analysen und Reportings für unsere Account Management Teams
Konzeption, Entwicklung und Pflege von Dashboards mit relevanten Kennzahlen
Automatisierung von Reportings
(Weiter-)Entwicklung von internen Marketing Controlling Tools
Weiterentwicklung und Optimierung bestehender API-Anbindungen
Datenfeed-Management im Rahmen von E-Commerce Projekten
Dein Profil:
Erfolgreich abgeschlossenes Studium der Informatik, Wirtschaftsinformatik, Wirtschaftsmathematik oder eine vergleichbare Ausbildung
Spaß am Umgang mit großen Datenmengen
Programmierkenntnisse in R und/oder Python notwendig
Erfahrung im Umgang mit relationalen Datenbanken
Fundierte Excel-Kenntnisse (z.B. Makros, Pivot-Tabellen)
Erfahrung mit Cloud-Plattformen und BI-Lösungen (z.B. Power BI)
Idealerweise Erfahrung mit Webanalyse-Tools wie Google Analytics
Idealerweise Kenntnisse in den Webtechnologien HTML, CSS, JavaScript und PHP
Hohe Bereitschaft zur Einarbeitung in neue Technologien
Begeisterung für Internet, E-Commerce und Online Marketing
Ausgeprägte analytische Fähigkeiten
Präzises, strukturiertes und vorausschauendes Arbeiten
Gutes technisches Verständnis, strukturierter Umgang mit Zahlen
Kunden- und lösungsorientiert
Proaktives, selbstständiges Handeln und innovatives Denken
Bereitschaft, in einer leistungs- und zielorientierten Umgebung zu arbeiten
Sehr hoher Anspruch an das eigene Leistungsniveau
Professionelles, freundliches und verbindliches Auftreten gegenüber Kunden
Offenes, begeisterungsfähiges Wesen mit ausgeprägter Teamplayer-Mentalität
Fließendes Deutsch und Englisch in Wort und Schrift
Wir bieten:
Ein außergewöhnliches, internationales Team
Ein angenehmes Arbeitsklima, einen flexiblen Arbeitsstil und flache Hierarchien
Ein dynamisches und innovatives Marktumfeld sowie spannende Kundenprojekte
Ein hohes Maß an Eigenverantwortung und viel Raum für Kreativität
Die Chance, ein schnell wachsendes Unternehmen mitzuprägen
Permanente Fortbildung und berufliche Weiterentwicklungsmöglichkeiten
Eine stetig wachsende Fachbibliothek mit aktuellen Büchern und Zeitschriften
Eine attraktive Vergütung und viele Extras inklusive leckerem Kaffee, Obst und Müsli
Eine betriebliche Altersvorsorge
Einen hochmodernen, top ausgestatteten Arbeitsplatz im Nürnberger Business Tower
Einen rückenfreundlichen, preisgekrönten 3D Bürostuhl und moderne, höhenverstellbare Schreibtische
Einen einzigartigen Sportraum inklusive Kursprogramm mit Corporate Fitness Coach und Yogalehrer
Zahlreiche Team-Events inklusive einer mehrjährigen Alpenüberquerung
Eine große Team-Küche sowie eine mehrfach ausgezeichnete Kantine im Erdgeschoss des Business Towers
Einen exzellenten Blick auf Nürnberg aus ca. 100 Metern Höhe im zweithöchsten Bürogebäude Bayerns
Eine Stadt voller Lebensqualität, in der sich Tradition und Moderne ideal verbinden
Über exito:
Wir leben Online Marketing und wir lieben Search! Seit vielen Jahren plant, steuert und analysiert unsere Agentur performance-orientierte Online Marketing Maßnahmen für namhafte E-Commerce Unternehmen. Jeden Tag aufs Neue rocken wir mit viel Leidenschaft und Herzblut sowie fundierter Fachkompetenz die Kampagnen-Kennzahlen im Sinne unserer Kunden. Wir tauchen dabei tief in die „Kundenwelten"" ein und pflegen langfristig ausgerichtete, vertrauensvolle Beziehungen.
Unsere Kernkompetenzen liegen im Performance Marketing sowie in der strategischen Online Marketing Beratung. Dabei betreut unser internationales Team aus Online Marketing Spezialisten auch mehrsprachige Kampagnen in vielen wichtigen Sprachmärkten. Wir sind eine kleine, rasant wachsende und schlagkräftige Agentur mit großen Zielen!",27Dec2021-11:38:48
sj_e3d71172d6dda4ab,"Data Analyst (m/w/d)
- job post",Medical Hair Company GmbH,,,"Innovativ, dynamisch, kreativ - das sind wir!
Bei der Medical Hair Company dreht sich alles um Kommunikation und Marketing. Wir planen, koordinieren und analysieren Marketingkampagnen, entwickeln Werbekonzepte und Content-Strategien, produzieren Inhalte und steuern Social-Media-Aktivitäten rund um das Thema Medizintourismus speziell auf dem Gebiet der Haartransplantation. Komm in unser Team und schreibe mit uns die Geschichte unseres Unternehmens!
Für den Ausbau unseres Teams sind wir stetig auf der Suche nach talentierten Mitarbeitern und geben ihnen die Autonomie und Verantwortung, die sie brauchen, um ihr Potential vollständig zu entwickeln.
Dein Talent
Du bist hochqualifiziert, motiviert und sachkundig in Google Analytics
Du besitzt Expertenwissen im Bereich Web Analytics (Strategie, Anforderungen, Implementierung, Validierung, Berichterstattung), insbesondere mit Google Analytics.
Die Fähigkeit, klar und effektiv mit technischen und nicht-technischen Teammitgliedern zu kommunizieren, ist ein Muss und fordert dein Entwicklungswillen
SEM / SEO ist ebenfalls eine Notwendigkeit, in welches du dich entfalten magst
Das hebt dich von den anderen ab
Erfassen von Webanalysedaten mit Google Analytics ist eine Leichtigkeit für dich
Du erstellst detaillierte und aufschlussreiche Berichte, um wichtige Kennzahlen und Ergebnisse zu vermitteln
Du Erstellst und optimierst A/B- oder multivariate Tests zur Verbesserung der Nutzererfahrung und Konversion
Mit der Dokumentierung von Marketingstrategien und -prozesse trägst du anhand deiner Empfehlungen zur Verbesserung bei
Du analysierst Kampagnendaten und passt die Strategien an, um eine maximale Investitionsrendite zu erzielen.
Das bieten wir Dir
Verantwortungsvolle Position, die dir eine persönliche und fachliche Weiterentwicklung ermöglicht
Ein attraktiver Arbeitsplatz direkt am Kudamm in Charlottenburg
Eine attraktive Vergütung
Duz-Kultur vom Geschäftsführer bis zum Praktikanten
Übernahme der Fitnesskosten und einen Zuschuss zu Fahrtkosten
Mehrere Teamevents- und Reisen
Wöchentlicher Firmenlunch und hausinterner Friseur
Einen Pausenraum mit zum Entspannen mit Netflix und Brettspiele
Art der Stelle: Vollzeit
Gehalt: 3.000,00€ - 4.000,00€ pro Monat
Berufserfahrung:
Google Analytics: 1 Jahr (Wünschenswert)
Sprache:
Deutsch mind. C1 (Wünschenswert)",27Dec2021-11:38:53
job_fa3c102634df1d51,"International Graduate Trainee - focus Economics/ Finance
- job post",Munich RE,,,"International Graduate Trainee - focus Economics/ Finance (m/f/d) *
Location
Munich , Germany
Our International graduate Trainee Programme offers you exciting insights and a through introduction to the diverse activities of a leading global reinsurancer. This provides you with the exceptional opportunity to advance your expertise and drive your personal development.
Over a period of 24 months, including an international assignment, you will receive in-depth training in professional, methodological and social skills, which will qualify you for assuming responsibility at Munich Re worldwide. We are looking for eager graduates who seek to actively shape the future of our business (re-insurance) together with us. If you enjoy embracing innovation in a very dynamic and challenging environment we are looking forward to your application.
Out Trainee Programme has been rewarded as “Fair Trainee Programme 2022” by Trendence.
Your job
Working on exciting and varying topics focusing on risk underwriting in the core business of Munich Re (e. g. working in collaboration with data analysts, developing product and client strategies, performing risk analysis, use of different pricing models, profitability and performance analysis)
Seizing excellent learning opportunities and cross-functional first-hand experience in our global business units
Participating in an international assignment of three months to extend your intercultural experience
Acquiring profound knowledge of our business and methods as well as to build up your soft skills in our distinguished global learning programme
Taking the opportunity to quickly build up a broad network of industry experts within Munich Re worldwide
Your profile
Very good university degree in economics, finance or statistics
Initial work experience, ideally in the insurance/ financial industry, big data or risk management (e.g. internships)
Strong quantitative skills & analytical abilities
Programming skills and/or database knowledge are welcome (e.g. Python, R, SQL. Matlab)
Experience abroad during your studies, practical training or work experience
Strong interpersonal and communication skills, empathy, and willingness to learn
Fluency in (Business) English required, additional languages are desirable
Flexibility and bringing a curious and creative mindset, open to new things and able to propose innovative ideas
About us
As the world's leading reinsurance company with more than 11,000 employees at over 50 locations, Munich Re introduces a paradigm shift in the way you think about insurance. By turning uncertainty into a manageable risk we enable fundamental change. Join us working on topics today that will concern society tomorrow, whether that be climate change, major construction projects, medical risk assessment or even space travel. Together we embrace a culture where multiskilled teams dare to think big. We create the new and the different for our clients and cultivate innovation. Sounds like you? Make it happen and be part of Munich Re.
You will work in an environment where we think big: Change and culture are continuously role-modeled. We create and articulate a compelling and ambitious shared purpose, vision and direction. We pave the way towards success and see failure as learning
You are going to experience that we care & dare: We are empathetic. We know when to lead and know when to let others lead. We attract, grow and coach future leaders
We communicate in a clear & authentic way: We interact with a positive and humble spirit. We solicit feedback, ask and listen, learn and unlearn
You will grow with your clients: Whatever our role, we support business, in an efficient and effective way, to create value for our clients. We embrace new ways of working leveraging digitalization to deliver solutions
Join us, and experience that we lead the We: We have a passion for winning and growing as a team. We inspire people to be capable of joint performance. We create an inclusive environment where different thoughts, generations, cultures and experiences are valued and encouraged
Münchener Rückversicherungs-Gesellschaft
Laura Fuchs • HR Consultant
Königinstraße 107 • 80802 München • GERMANY

Apply now! Apply for this Job!
Munich Re not only stands for fairness with regard to its clients; it is also an equal opportunity employer. Severely disabled candidates will also be prioritised, if equally qualified.",27Dec2021-11:38:59
job_237fdfd25e1ef65c,"Junior Data Analyst (all genders)
- job post",Cocomore AG,,Vollzeit,"Die Cocomore AG ist eine Agentur für Marketing, IT & Experience Design mit 180 Mitarbeiterinnen und Mitarbeitern und Büros in Frankfurt/Main, Genf, Köln, Berlin und Sevilla. Wir beraten große Kunden aus den unterschiedlichsten Branchen. Als Unterstützung für unser Data & Analytics-Team suchen wir dich als Junior Data Analyst (m/w/d) – ob in einem unserer Büros oder remote.
Unser junges, dynamisches Data & Analytics-Team, bestehend aus Spezialisten und Generalisten, berät Kunden aus den unterschiedlichsten Bereichen mit vielfältigen Anforderungen und Wünschen. Somit besteht die Möglichkeit deiner persönlichen Weiterentwicklung ausgerichtet auf deine individuellen Präferenzen.
Im Team entwickeln wir Strategien, Konzepte, Services und Kampagnen für unsere globalen Kunden und führen diese zum Erfolg im digitalen Marketing. Wir basieren unsere Empfehlungen immer auf Basis von Data Insights, vor allem Customer Insights und messen unsere Aktivitäten permanent sowie optimieren sie kontinuierlich. Dazu nutzen wir digitale Dashboards und modernste Tools.
Dein Job:
Du bist ein entscheidendes Mitglied unseres Data & Analytics Teams
Mit deiner Expertise setzt Du spannende Analytics und Tracking Projekte zusammen mit unseren internationalen Kunden aus den unterschiedlichsten Branchen um
Du hast bei unseren Kundenprojekten die Aufgabe, die richtigen Daten zu erheben, aufzubereiten sowie zu analysieren. Dazu können Daten aus verschiedenen Quellen gehören (z.B. Google Analytics 360, Adobe Analytics (mittels Tag Management), Salesforce, Jira aber auch Daten aus Shop-Systemen und CRM-Datenbanken)
Du führst Onsite-Analysen von Websites durch und optimierst die Online-Customer-Journey unserer Kunden
Du analysierst das Nutzer-/ Kaufverhalten der User auf den Websites und leitest daraus Handlungsempfehlungen ab
Du trägst die Verantwortung für die Konzeption und Erstellung von performanceorientierten Kennzahlen-Analysen der Websites, Online-Kanäle sowie Online- und Newsletter-Kampagnen unserer Kunden
Du erstellst Analytics-/ Tracking-Konzepte für Web- und Mobile-Anwendungen sowie für Multichannel-Kampagnen
Du führst A/B-Testing/ Quality Assurance durch
Deine Skills:
Ein passender Hochschulabschluss mit mathematischem, statistischem und/ oder analytischem Schwerpunkt. Schwerpunkte im Bereich Finanzen bzw. Finanzwesen sind auch sehr gerne gesehen
Erfahrung mit statistischen Methoden vom Vorteil
Sicheres Auftreten und sehr ausgeprägte Kommunikationsfähigkeiten, auch im Umgang mit Kunden
Du hast sehr ausgeprägte analytische Fähigkeiten und ein kundenorientiertes Mindset
Erfahrung in der Analyse und Interpretation von Digital Analytics-, Commerce- und CRM-Daten, bestenfalls Erfahrung mit Magento
Idealerweise konntest du bereits erste Erfahrungen im Bereich SQL/ Big Query oder mit der Verwendung von Dashboard-Lösungen wie Klipfolio, Tableau, PowerBi und/ oder Jedox sammeln
Wünschenswert sind darüber hinaus Kenntnisse von Google Analytics, Google Tag Manager und/ oder Google Optimize
Kenntnisse in Javascript, HTML und/oder Python sind ebenfalls von Vorteil
Du beherrschst fließendes Deutsch und Englisch in Wort und Schrift
Deine Benefits:
Spannende und abwechslungsreiche Projekte bei großen, internationalen Kunden
Möglichkeiten zur Weiterbildung in Richtung Data Science
Deine Work-Life-Balance ist uns wichtig, daher bieten wir dir flexible Arbeitszeiten und Home-Office-Optionen
Du profitierst von Mitarbeiterrabatten und weiteren Vergünstigungen bei Partnerunternehmen
Teamspirit in Startup-Atmosphäre und Arbeiten auf Augenhöhe, in einem erfahrenen und interdisziplinären Team
Du hast die Möglichkeit abteilungsübergreifende Themen mitzugestalten und voranzutreiben
Unser Onboarding Programm hilft dir dabei, dich in der ersten Zeit besser zu orientieren, außerdem steht dir ein persönlicher Buddy zur Seite
Extras wie kostenlose Getränke, Kaffee und Obst sind bei uns selbstverständlich
Formelle Fortbildungsmaßnahmen stehen zur Verfügung",27Dec2021-11:39:04
sj_dc8f2fb96f5bc491,"Junior Data Analyst for Project and Financial Controlling (m/f/d)
- job post",ALDI SÜD,,,"Your Tasks
Transforming, improving and integrating data, depending on business requirements
Consolidating and maintaining various data sources using APIs (e.g. MS Excel to MS PowerPoint, or ServiceNow to Tableau)
Creating and delivering reports for upper management via MS PowerPoint/Dashboard Solutions
Ability to consistently comply with brand and style guidelines
Proactively reviewing existing data sources and deriving value-adding KPI reports for various stakeholders
Semi-automating data flows and report generation
Your Profile
You are confident in using VBA/Power Query/REST API
You have gained initial experience in using C# or a similar programming language
You have a good command of Tableau Software, MS PowerPoint Plugins and MS Power Automate
Ideally, you have previously worked with project management tools such as ServiceNow and Jira
You are able to communicate complex concepts to target groups outside your field of expertise
You are an analytical master brain
Our Benefits
Permanent contract with a competitive compensation package
Fast career track that rewards self-starters who drive initiatives and actions
Mobile working and flexible working hours
Corporate benefits, bicycle leasing and a company pension scheme
IT projects that set new benchmarks in the retail industry
International setup with colleagues from around the globe
Apply now and become part of a team in which everyone contributes to the common success!

Regardless of the texts and images in our recruiting materials, we emphasize that everyone is equally welcome at ALDI SÜD.",27Dec2021-11:39:09
job_28264b3ec499746f,"BI Analyst
- job post",Flint Data,Köln,68.000 € - 75.000 € pro Jahr,"Als einer der größten Marken der Welt verschmelzen wir mit unsren Geräten Usability und Technik
Tools
R
Tableau
SQL
SPSS
SAS
Gehalt
68K EUR - 75K EUR

Mein Kunde gilt als Pioneer in der Smart Phone Branche und arbeitet als Marktführer und verfolgt die Mission Interaktionen zwischen Mensch und Maschine zu revolutionieren. Dabei stehen im Vordergrund stets Performance, Technik und Design.

Als Erfolgsgarant stehen mehr als 100 Mrd EUR Jahresumsatz zu buche sowie “State of the Art“ Produkte die Ihresgleichen suchen. Um der Vision gerecht zu werden tüfteln & Schrauben Weltweit die besten Köpfe an der Vision der Zukunft.

Die Rolle ist innerhalb des neuen geschaffen User Analytics Teams, wo anhand von Zielgruppen Analysen Insights für Sales und Marketing geschaffen werden.

Aufgaben

Du entwickelst datenbasierte Ideen, die Sales & Conversion aktiv voranzutreiben und setzt diese in Projekten gemeinsam mit den Kollegen aus dem Produkt-/ und Marketingbereich um. Dabei liegen sämtliche Schritte von Konzeption, Durchführung, Dokumentation über Ergebnispräsentation in deinem Aufgabenbereich.

Du erkennst gemeinsam mit den Stakeholdern im Unternehmen Stellschrauben für Erfolg und untermauerst Ihre Hypothesen und Erkenntnisse mit aussagekräftigen Analysen.

Mittels A/B & MVT Testing prüfst du diverse Hypothesen über Wirkzusammenhänge

Du erstellt Prognosemodelle für zahlreiche Aspekte z.B. des Nutzerverhaltens und automatisierst diese z.B. mit Hilfe des IBM SPSS Modelers oder R

Du baust die Datenanalyse aus dem Data Warehouse und weiteren dynamisch verfügbaren Datenquellen aus und treibst die Entwicklung voran

Profil

erfolgreich abgeschlossen Studium der Wirtschaft/Sozialwissenschaft/Mathematik/Informatik mit starker analytischer Ausrichtung

Du kannst Erfahrungen in den Bereichen Data-Mining, analytisches CRM und der multivariaten Statistik vorweisen

Du hast bereits erfolgreich mit relevanten Tools (SAS, SPSS, R, Stata o.ä.) und großen Datenmengen gearbeitet und bringst zudem Kenntnisse in SQL mit

Erfahrung in den Bereichen Webanalyse, Data Science und A/B-Testing sind ein Plus

Du besticht durch ein hohes Maß an analytischer und vernetzter Denksweise, gepaart mit konzeptionellen Fähigkeiten sowie einer raschen Auffassungsgabe aus

Du verfügst über die Fähigkeit, komplexe Sachverhalte und große Datenmengen zu analysieren und Easy aufzubereiten

Zu Guter letzt solltest du fließend Deutsch und Englisch sprechen.

Goodies
Catering
Private Versicherung
Neuste Hardware
Int. Konferenz
Fragen

Max Mustermann
BI Consultant

030 89 40 25 66
info@flint-data.com",27Dec2021-11:39:15
job_50783c5717ed98ef,"Global Finance Analyst (*)
- job post",DB Schenker,,,"At DB Schenker, you are part of a global logistics network that connects the world. A network that allows you to shape your career by encouraging you to contribute and truly make a difference. With more than 76,000 colleagues worldwide, we welcome diversity and thrive on individual backgrounds, perspectives and skills. Together as one team, we are Here to move.

We are looking for a Global Finance Analyst (*) for our team “Global Accounting” at our Head Office in Essen, Germany, on short notice.

Your tasks:

Support on the internal and external billing process of the global and regional team
Prepare and organise invoice pre-approval review meetings with our customer
Support and review the site’s invoices (operations and implementations)
Budget and forecast preparations
Budget vs. actual consumption tracking
Prepare data for customer and KPI reportings
Consolidate financial data for dashboards (Ops, RFQ, Financial KPIs)
Support regional operations head on ad-hoc tasks
Conduct training with sites on the invoicing process
Support the Global Finance Manager in overseeing the internal and external financial processes in line with customer agreements and internal policies.
Manage general administrative financial related day to day tasks

Your profile:

Bachelor and/or master’s in business administration, finance, accounting or comparableFinancial/Controlling experience
Previous work experience in Finance, accounting and/ or sales controlling
Solution oriented
Customer focus
Strong analytical and review skills to interpret financial data
Budgeting and forecasting experience desirable
Advanced MS Office skills (esp. Excel and PowerPoint) and Google suite
Knowledge of SAP R/3 FI/CO desirable
Experience by working in a matrix organisation and virtual teams
Excellent communication skills
Ability to work to strict deadlines
Ability to work with different cultures
Ability of self-reliant, conceptual and accurate working
Ability of analytical and structured thinking
Ability to work under high pressure and to set reasonable priorities
If you are interested in this challenging and prospective position, please visit our homepage. To apply, please click the „apply now“ button online and inform us of your possible starting date and salary expectations.
Chancengleichheit und selbstbestimmte Teilhabe Schwerbehinderter und Gleichgestellter sowie eine respektvolle Zusammenarbeit sind innerhalb des DB Konzerns fest verankerte Grundsätze. Deshalb werden schwerbehinderte Bewerber bei gleicher Eignung bei bevorzugt berücksichtigt.",27Dec2021-11:39:20
job_3a5299348e0d25cc,"Graduate (m/f/d) Rotation Program for Business, Operations and Finance 2022
- job post",Texas Instruments,,,"About TI
Texas Instruments Incorporated (Nasdaq: TXN) is a global semiconductor company that designs, manufactures, tests and sells analog and embedded processing chips for markets such as industrial, automotive, personal electronics, communications equipment and enterprise systems. Our passion to create a better world by making electronics more affordable through semiconductors is alive today, as each generation of innovation builds upon the last to make our technology smaller, more efficient, more reliable and more affordable – making it possible for semiconductors to go into electronics everywhere. We think of this as Engineering Progress. It’s what we do and have been doing for decades. Put your talent to work with us – change the world, love your job!
Job Description:
As a person fresh out of university, making an immediate impact in the real world is probably at the top of your priority list. For graduates with operations, supply chain, industrial engineering, accounting and finance degrees, we’ve designed a rotation program just for you! This is a unique opportunity to grow valuable skills in a collaborative environment that will put you in direct contact with business leaders across TI. And, you’ll receive customized coaching and training along the way from industry-leading professionals. This program will position you for a long and successful career with TI where you’ll be inspired to innovate, collaborate and make a true impact.
In this rotation program, you will have the opportunity to experience a variety of roles that span the full breadth of TI’s business operations. In your assignments you will partner with TI engineering, manufacturing and sales to ensure financial strength, accurate reporting, and on-time delivery of products and services to our customers, including broad exposure to TI’s total supply chain.
You’ll rotate through three diverse and challenging positions during a 3-year period. Rotation assignments are primarily driven by TI business needs in consideration with your educational background and interests. At the end of the rotation program, you will have the foundational skills to be successful at TI and be placed in a role that matches your skills and TI business needs. Examples of potential rotation assignments include:
Customer Operations Representative – Point of contact for key customers, build close relationships to sales/business units, driving proactive order management and optimizing efficiencies in customer support.
Supply Chain Specialist & Data analyst - driving efficiencies across TI’s supply chain through leveraging tools, enabling better processes and monitoring process compliance and performing complex data analytics. Accountant - supporting internal controls with execution of income statement and balance sheet close activities, inter-company costing, audits, inventory valuation and more.
Financial Analyst - diving into profit and loss projections, connecting financial results to operational performance and influence investment decisions.
Logistics Specialist - improving inbound/outbound transportation flows, along with optimizing the network of finished goods between factories and TI product distribution centers, and managing delivery of TI products directly to customers.
Pricing Specialist – executing pricing and developing quoting strategies for assigned areas of responsibility which enable sales and TI businesses to achieve revenue and share growth while maximizing TI profit.
Procurement Specialist - developing and implementing sourcing strategies, leading bids and negotiating with suppliers, implementing and sustaining cost reduction initiatives.
Business Planner – executing efficient product planning, close interaction with business units and manufacturing;

Minimum requirements:
Minimum BS/BBA degree in Industrial Engineering, Supply Chain, Finance, Accounting, Data Analytics/Management Information Systems or related business field
Excellent English language; further language skills would be an advantage
Preferred Qualifications:
Demonstrated strong analytical and problem-solving skills
Strong written and verbal communication skills
Ability to team and collaborate effectively with people in different functions, countries and cultures
Demonstrated ability to build strong, influential relationships
Ability to work effectively in a fast-paced and rapidly changing environment
Ability to take initiative and drive for results
Ability to prioritize work and manage a number of projects and assignments at one time
Capability to persevere and navigate through ambiguity
Aptitude to be methodical and detailed
Our offer:
Benefit from a competitive salary, yearly profit sharing (dependent on company success), flexible working hours, the ability to work from home, an unlimited contract from the beginning and many additional benefits
Join an international work environment where your ideas count and where you can thrive in a diverse culture
Explore a world of opportunities for your personal and professional development
A cover letter in addition to your CV would be appreciated.",27Dec2021-11:39:25
job_01ce80eb99af1110,"Data Analyst - Pricing (m/f/d)
- job post",Viessmann Group (EN),,,"In this position, you have the opportunity to enter the world of IT as an IT Pricing Analyst (m/f/d) and to contribute your analytical skills independently. Together with you, we would like to drive the topic of pricing forward in the long term.
Your Impact
In this role you will be responsible for the optimization and further development of pricing processes and pricing tools.
Your tasks range from initial pragmatic analyses via Excel to automated reports with OLAP TM1 databases.
On the basis of your analyses, you develop the decision-making basis for successful pricing initiatives.
You will establish a continuous performance measurement for the pricing initiatives in order to make our growth contribution visible.
Collaborate on projects in an international environment
""Last but not least"" you will work closely with colleagues from the BI and SAP team when it comes to processing large amounts of data from different data sources (e.g. Data Warehouse or SAP).
Who you are
You are known for your strong teamwork skills and hands-on mentality with a great attention to analytical detail, which makes you an outstanding Pricing Analyst. To ensure that you are also successful in your job, we are also looking for:
A degree in business information systems or a comparable qualification.
We are happy to give graduates with relevant internships and good study experience a chance.
Knowledge of SAP as well as TM1 is an advantage
Very good knowledge of MS-Office (especially Excel) is a prerequisite - as well as solid SQL knowledge and experience with a tool (MS Power BI, Cubeware Cockpit or Cubeware Importer)
Very good experience in at least one programming language (e.g. VBA or Java)
Business proficient in German and English
What makes us special
Our employees are the key to bringing our vision to life. Based on this belief, we have created benefits for our employees, or as we call them family members:
We offer 30 days of paid vacation per year
Enjoy exclusive discounts on selected Viessmann products and services
In our employee restaurant, we offer you a selection of healthy and inexpensive meals, prepared from regional foods.
Viessmann offers you the option of mobile working whenever possible and provides you with the appropriate technical equipment
Think about your future now and benefit from our company pension scheme
Free e-charging station - whether with Job Bike or with Europcar - our partnerships protect the environment and your wallet at the same time.
Who we are
With more than 12,000 employees in 74 countries and sales of over 2 billion euros, Viessmann is a leading manufacturer of air conditioning and energy solutions. Through our energy-efficient products, we help solve one of the greatest challenges of our time: the economical and sustainable use of energy. Viessmann sets the best example here: we have reduced our CO2 consumption by 70% at our headquarters in Allendorf since 2005, while doubling our efficiency. But how do we manage all this? Together with our employees, partners and customers.
Every voice is important in continuously driving our innovative strength. And we thrive on the tireless commitment of our teams to work together toward our goal: Creating living spaces for future generations.
We look forward to hearing from you!",27Dec2021-11:39:30
job_4047847b69784f27,"Data Analyst im User Lab (m/w/d)
- job post",Innovations- und Digitalagentur (ida),,"Vollzeit, Teilzeit, Festanstellung","Als Innovations- und Digitalagentur lösen wir für unsere Kund: innen komplexe Probleme und finden kreative Lösungen. Während sich bei unserer Arbeit vieles ums Digitale dreht, dreht sich bei uns im Team alles um die Menschen, mit denen wir gemeinsam arbeiten. Denn wir wissen: Gute Arbeit braucht ein gutes Umfeld.
Und was wir auch wissen: Das Leben ist, wie es ist – und Lebensläufe sind nicht immer geradlinig. Das ist auch gut so, denn wir suchen keine CVs, sondern Personen mit Charakter: Die lieben, was sie tun. Die sich trauen, Neues zu probieren. Die auch mal scheitern. Ganz einfach Menschen mit einer unerschütterlichen Leidenschaft für Qualität.
Das erwartet dich bei ida:
Du bist Teil unseres User Labs und baust das Kompetenzfeld datengestützte Beratung aus, indem du Nutzer: innen-Daten von Websites, Apps oder Social-Media-Plattformen analysierst, komplexe Zusammenhänge erkennst und die richtigen Schlüsse daraus ziehst.
Von der Projektanbahnung bis zum Projektabschluss – du stehst unseren Kund: innen kontinuierlich beratend zur Seite.
Du bist für das Projektmanagement deiner Projekte selbst verantwortlich, kommunizierst daher auch zielgerichtet mit unseren Kund: innen, tauschst dich aber auch regelmäßig mit dem Team aus. Better together und so…
Du arbeitest nicht nur mit unseren Kund: innen, sondern auch mit anderen ida-Teams (z.B. SEO, BI, Product oder Audience Development) eng zusammen.
Remote oder Office? Wir können beides, ganz wie du willst.
Du hast die Möglichkeit, u.a. die Angebote der öffentlich-rechtlichen Rundfunkanstalten maßgeblich mitzugestalten und zu verbessern – und kannst so einen positiven Beitrag für unsere Gesellschaft leisten.
Das bringst du mit:
Du verfügst über handfeste Kenntnisse in der Analyse größerer Datenmengen, zum Beispiel mittels statistischer Methoden.
Wenn wir uns was wünschen dürften, dann hast du bereits mehrjährige Berufserfahrung in der Medienwelt oder einer Agentur im Gepäck.
Du hast Grundkenntnisse in der Anwendung von qualitativen-empirischen Forschungsmethoden oder Lust, dich darin weiterzuentwickeln.
Du arbeitest selbstständig und kannst dich und dein Projektteam managen.
Du bringst dein Fachwissen aktiv im ganzen Unternehmen ein und unterstützt uns dabei, noch dateninformierter zu arbeiten.
Du kannst präsentieren, moderieren und vielleicht sogar Workshops leiten? Ausgezeichnet!
Dass du für diese Rolle erstklassige Kommunikationsfähigkeiten und auch Empathie brauchst, müssen wir eigentlich hier nicht aufschreiben. Jetzt haben wir’s doch gemacht. Nun ja. Sicher ist sicher.
Du sagst, das könnte passen? Dann lass uns miteinander reden! Schick deine Bewerbung mit deinem Lebenslauf, frühestmöglichem Eintrittstermin und deiner Gehaltsvorstellung direkt an unsere Kollegin Lovis.
Achtung: Bewirb Dich am besten über folgenden Link: https://ida.jobs.personio.de/job/491063?_pc=375499#apply
Art der Stelle: Vollzeit, Teilzeit, Freie Mitarbeit, Festanstellung
Arbeitszeiten:
Montag bis Freitag
Leistungen:
Betriebliche Weiterbildung
Betriebsfeiern
Flexible Arbeitszeiten
Homeoffice
Homeoffice:
Ja",27Dec2021-11:39:35
