0,1,2,3,4,5,6
sj_da9d978c3fc81d52,"Data Analyst International Internal Auditing (m/w/d)
- job post",ALDI International Services SE & Co. oHG,Nordrhein-Westfalen,Vollzeit,"Data Analyst (m/w/d) (ID:134461)
Verwaltung: Mülheim an der Ruhr | Beginn: ab sofort | Wöchentliche Arbeitszeit: Vollzeit
Eine effiziente und zukunftsorientierte Unternehmensführung verlangt eine nachhaltige Sicherung des Unternehmenserfolges. Das International Internal Auditing (IIA) ist ein wesentlicher Aufgabenträger dieser unternehmerischen Funktion und unterstützt die Unternehmensführung und die ihr nachgeordneten Ebenen durch umfassende internationale Prüfungen sowie prüfungsnahe partnerschaftliche Beratungen, so dass im Rahmen dieser Aufgaben die Unternehmensleitung objektiv informiert und somit in ihrer Kontroll-, Steuerungs- und Lenkungsfunktion unterstützt wird. Das International Internal Auditing nimmt auf Basis der einschlägigen Berufsstandards ihre Aufgaben selbstständig und unabhängig wahr. Im Rahmen des Aufbaus eines Datenanalyse Kompetenz-Teams innerhalb des IIA suchen wir engagierte Kolleg:innen, die an der Schnittstelle zwischen IT und IIA an der kontinuierlichen Bereitstellung von Datenanalysen für das IIA mitwirken wollen.
Für mich – das bietet ALDI SÜD

Abwechslungsreiches und vielseitiges Aufgabengebiet in einem dynamischen, internationalen Umfeld
Modernen und sicheren Arbeitsplatz
Angenehme Arbeitsatmosphäre
Überdurchschnittliches Gehalt
Gezielte Weiterbildungsmöglichkeiten
Kurze Entscheidungswege
Individuelle Einarbeitung in verschiedenen Unternehmensbereichen
Für uns – das sind Ihre Aufgaben

Laufende Mitarbeit bei Prüfungs- und Beratungsleistungen
Technische Unterstützung bei der Datenvisualisierung und -modellierung
Aufbau, Definition, kontinuierliche Bereitstellung und Produktion von deskriptiven Analysen
Auswertung und Analyse von Datenbanken, Stammdaten und dahinterliegenden Prozessen
Aufbereitung, Bereinigung und Modellierung von Daten
(Vor-) Interpretation und Dokumentation von Analyseergebnissen
Kontinuierliche Weiterentwicklung des deskriptiven Datenanalyseportfolios
Für morgen – das bringen Sie mit, um gemeinsam die Zukunft zu gestalten

Abgeschlossenes Studium mit informationstechnischem, naturwissenschaftlichem Schwerpunkt oder Wirtschaftswissenschaften mit entsprechender Vertiefung
Erste Berufserfahrung als Business Analyst oder Data Analyst
Erfahrungen in der Verarbeitung von Daten und im Umgang mit SQL-Datenbanken
Expertise in der Anwendung von BI-Tools wie MicroStrategy oder Tableau
Analytisches Denkvermögen, technische Affinität sowie eine schnelle Auffassungsgabe
Sehr gute Deutsch- und Englisch-Kenntnisse
Um den Lesefluss zu erleichtern, beschränken wir uns im Textverlauf auf männliche Bezeichnungen. Wir betonen ausdrücklich, dass bei ALDI SÜD alle Menschen gleichermaßen willkommen sind.
Jetzt bewerben und Teil eines Teams werden, in dem jeder Einzelne zum gemeinsamen Erfolg beiträgt!
Jetzt bewerben »",27Dec2021-11:32:36
sj_02584e4103224240,"JUNIOR FINANCE & CONTROLLING ANALYST
- job post",adiatus Service GmbH,,,"Build high-quality and fully performing software that complies with modern coding standards and technical design as part of a passionate team.
Code meetsCreativity. Cloudflight brings together more than 400 visionary digital strategists, experienced software architects, leading data scientists and cloud engineers in 17 locations throughout the world. Together Cloudflight help their customers to design, build and operate scalable platforms and applications to grow their digital business.
Cloudflight have been building a home full of open communication, purpose and mastery where you can unfold your wings and take responsibility from day one. Cloudflighter are makers, creators, and innovators. They provide an agile and safe place where brilliant people proudly co-create the digital future and enable each other to grow. Use your flexibility and autonomy to shape your work environment and contribute to an ambitious journey. Join Cloudflight and work alongside the greatest minds, because at Cloudflight, your work is meaningful, significant, and has impact. Together, with outstanding passion, we do our best for excellent software solutions every day.
It makes Cloudflight happy and honored to find themselves in kununu’s top 10 employers: They are No.4 among all companies in the DACH region and even No. 1 among the IT companies in the category ""Work-Life-Balance”.
As a
Junior Finance & Controlling Analyst (M/F/X),
based in Frankfurt or Linz or Vienna
you will…
support the team in rolling-cash-forecast modeling
take care of the further development of ongoing financial controlling and cost center analysis
support the team in the preparation of monthly financial reporting on an actual, budget and forecast basis
prepare board level presentations to the management team and advisory board
support the team in the planning, preparation and audit of the annual financial statements together with our tax advisors
be actively involved in the forecast and budget process
contribute and be responsible to/for the quality assurance in our Back Office Team (especially on our path to a fully digitalized process)
create BI Reports
take over ad-hoc analysis and special tasks
work closely with the CFO and the other members of the finance team as well as our wider business functions and gain insights into several business aspects of a fast-growing technology business
You will enjoy this job if you…
completed a business degree, ideally with a focus on finance, accounting and / or controlling
have 1-3 years of relevant professional experience, ideally in controlling or financial planning & analytics functions, in auditing and/or accounting, preferably in a “Big 4” audit firm (or equivalent) or a fast-growing B2B tech, software or service environment
have a strong entrepreneurial mindset and an analytical approach
approach things in a structured and independent manner, seek responsibility and challenge classic procedures
have a strong hands-on-mentality
are looking for a team where your ideas are always welcome and where people support each other
are business fluent in German and fluent in English
As Cloudflight employees, we love to…
learn new things, constantly challenge ourselves and are really passionate about our field of work
solve problems and develop efficient solutions
have a “can do” attitude and positive outlook
share and exchange knowledge
have a lot of freedom and the chance to grow
discuss new ideas and have the opportunity to shape a naturally and rapidly growing business
spend quality time with our colleagues during social events – also across locations
Diversity & inclusion
We are an equal opportunity employer. We strive to create an inclusive environment where everyone can thrive regardless of their background and circumstances. All applicants receive equal opportunity regardless of age, gender identity or expression, language, disability, ethnicity, national origin, religion, or sexual orientation.
Art der Stelle: Festanstellung
Gehalt: 60.000,00€ - 70.000,00€ pro Jahr
Arbeitszeiten:
Montag bis Freitag
Sonderzahlung:
Zusatzzahlungen
Homeoffice:
Temporär, aufgrund von COVID-19",27Dec2021-11:32:41
job_50783c5717ed98ef,"Global Finance Analyst (*)
- job post",DB Schenker,,,"At DB Schenker, you are part of a global logistics network that connects the world. A network that allows you to shape your career by encouraging you to contribute and truly make a difference. With more than 76,000 colleagues worldwide, we welcome diversity and thrive on individual backgrounds, perspectives and skills. Together as one team, we are Here to move.

We are looking for a Global Finance Analyst (*) for our team “Global Accounting” at our Head Office in Essen, Germany, on short notice.

Your tasks:

Support on the internal and external billing process of the global and regional team
Prepare and organise invoice pre-approval review meetings with our customer
Support and review the site’s invoices (operations and implementations)
Budget and forecast preparations
Budget vs. actual consumption tracking
Prepare data for customer and KPI reportings
Consolidate financial data for dashboards (Ops, RFQ, Financial KPIs)
Support regional operations head on ad-hoc tasks
Conduct training with sites on the invoicing process
Support the Global Finance Manager in overseeing the internal and external financial processes in line with customer agreements and internal policies.
Manage general administrative financial related day to day tasks

Your profile:

Bachelor and/or master’s in business administration, finance, accounting or comparableFinancial/Controlling experience
Previous work experience in Finance, accounting and/ or sales controlling
Solution oriented
Customer focus
Strong analytical and review skills to interpret financial data
Budgeting and forecasting experience desirable
Advanced MS Office skills (esp. Excel and PowerPoint) and Google suite
Knowledge of SAP R/3 FI/CO desirable
Experience by working in a matrix organisation and virtual teams
Excellent communication skills
Ability to work to strict deadlines
Ability to work with different cultures
Ability of self-reliant, conceptual and accurate working
Ability of analytical and structured thinking
Ability to work under high pressure and to set reasonable priorities
If you are interested in this challenging and prospective position, please visit our homepage. To apply, please click the „apply now“ button online and inform us of your possible starting date and salary expectations.
Chancengleichheit und selbstbestimmte Teilhabe Schwerbehinderter und Gleichgestellter sowie eine respektvolle Zusammenarbeit sind innerhalb des DB Konzerns fest verankerte Grundsätze. Deshalb werden schwerbehinderte Bewerber bei gleicher Eignung bei bevorzugt berücksichtigt.",27Dec2021-11:32:47
job_3ac2a0ccc1ff7f75,"Financial Analyst (Temp. 1 year)
- job post",Mattel,,,"Company Description

CREATIVITY IS OUR SUPERPOWER. It’s our heritage and it’s also our future. Because we don’t just make toys. We create innovative products and experiences that inspire, entertain and develop children through play. Mattel is at its best when every member of our team feels respected, included, and heard—when everyone can show up as themselves and do their best work every day. We value and share an infinite range of ideas and voices that evolve and broaden our perspectives with a reach that extends into all our brands, partners, and suppliers.
For our office in Frankfurt - Germany, we are looking for a full-time maternity cover for 1 year.
The Team:
In this position you will be part of the Finance Team and provide ongoing support to the Sales department and the assigned customer business team in all finance related topics.

Job Description

What Your Impact Will Be:
On a pan-European level, support the Finance Manager in the following:
Management of customer benefits (actuals/forecast/accruals)
Analysis of customer profitability
Analysis of customer promotional budgets
Review and approval of promotion discounts
Provide customer roll ups
Partnering with key stakeholders across the organization to drive sales and profit
Excellent implementation (efficiency, on time, on budget, on quality)
Maintain collaborate relations with European and local teams
#LI-JE1

Qualifications

What We’re Looking For:
Skills
Accounting knowledge with experience in journal entry and balance sheet reconciliations
Excellent communication skills; ability to liaise with people at all levels across the business
Strong analytical skills
Results oriented; ability to apply sound commercial reasoning and logical thinking
Accuracy and attention to detail
Strong system skills (MS Access/Excel – manipulate complex/raw data)
Some commercial understanding of a consumer goods company
An independent, proactive individual who can manage deadline and take quick decisions in a very fast paced, demanding environment
Education & Experience:
Finance or Accounting Degree or equivalent in Finance or Business-related discipline
Preferably 2-3 years of experience in a finance function. Some exposure to a commercial environment (retail or FMCG) would be advantageous

Additional Information

What It’s Like to Work Here:
We are a purpose driven company aiming to empower the next generation to explore the wonder of childhood and reach their full potential. We live up to our purpose employing the following behaviors:
We collaborate: Being a part of Mattel means being part of one team with shared values and common goals. Every person counts and working closely together always brings better results. Partnership is our process and our collective capabilities is our superpower.
We innovate: At Mattel we always aim to find new and better ways to create innovative products and experiences. No matter where you work in the organization, you can always make a difference and have real impact. We welcome new ideas and value new initiatives that challenge conventional thinking.
We execute: We are a performance driven company. We strive for excellence and are focused on pursuing best in class outcomes. We believe in accountability and ownership and know that our people are at their best when they are empowered to create and deliver results.
Who We Are:
Mattel is a leading global toy company and owner of one of the strongest catalogs of children’s and family entertainment franchises in the world. We create innovative products and experiences that inspire, entertain and develop children through play. We engage consumers through our portfolio of iconic brands, including Barbie, Hot Wheels, Fisher-Price, American Girl, Thomas & Friends, UNO and MEGA, as well as other popular intellectual properties that we own or license in partnership with global entertainment companies. Our offerings include film and television content, gaming, music and live events. We operate in 35 locations and our products are available in more than 150 countries in collaboration with the world’s leading retail and ecommerce companies. Since its founding in 1945, Mattel is proud to be a trusted partner in empowering children to explore the wonder of childhood and reach their full potential.

Visit us at https://jobs.mattel.com/ and www.instagram.com/MattelCareers.

Mattel is an Affirmative Action/Equal Opportunity Employer where we want you to bring your authentic self to work every day. We welcome all job seekers including minorities, females, veterans, individuals with disabilities, and those of all sexual orientations and gender identities.",27Dec2021-11:32:52
job_8cffbd2662216db3,"Financial Analyst
- job post",Quantum Brains,,,"Tasks
On-chain and off-chain market research. Analysis of flows and activities of crypto ecosystems. Collection of data, their processing and identification of trading opportunities on their basis
Building and optimizing a data monitoring system and Market Intelligence, integrating the monitoring system into the current back office infrastructure
Assistance in liquidity management and trading support
Analysis and control of existing risks and limits (from the local level - trading strategy, to the level of the entire company)
Ad-hoc tasks related to post-trade analysis, reports on financial results and other
Requirements
Basic knowledge of financial analysis, understanding of basis of market trading and the work of exchanges
Skills in data processing in Python (other languages are also considered, ex. R out of the borders of standard studying programs)
Fluent English level
Will be a plus
Higher technical or economical degree, progress in obtaining financial certificates (CFA, ACCA, etc)
Immersion in the blockchain industry, experience with DEX and web3 applications
Experience of interaction with complex structured products (especially crypto-related - linear/inverse derivatives, AMM LPs, leveraged farming, etc.)
Knowledge of any BI tools",27Dec2021-11:32:57
job_7dae80b0dfd2763a,"Payments Global Trade Sales Analyst Associate (m/f/d) - Frankfurt
- job post","JPMorgan Chase Bank, N.A.",,,"The Corporate & Investment Bank is a global leader across investment banking, payments, markets and securities services. The world's most important corporations, governments and institutions entrust us with their business in more than 100 countries. We provide strategic advice, raise capital, manage risk and extend liquidity in markets around the world.
J.P. Morgan Payments provides trade financing, merchant services, cash management, liquidity, commercial card, foreign exchange and escrow solutions to clients across the world. Teams are constantly innovating, using the latest technology and data analytics to deliver specialized solutions to help clients grow and streamline their businesses. The organization combines four lines of business: Merchant Services, Treasury Services, Commercial Card and Trade Finance to help clients manage working capital and increase operational efficiency.
Global Trade is a critical element of a complete Corporate & Investment Bank (""CIB"") client relationship, and an important component of our international growth strategy. We offer financing and risk mitigation products to our CIB and CCBSI corporate client base. Client solutions include Supply Chain Finance, Export / ECA Finance, Trade Loans, Receivables Finance and Purchase, Contract Monetization, Inventory Finance, Commercial Letters of Credit, Standby Letters of Credit, and Guarantees.
The Role
The Global Trade Sales Analyst/Associate will support EMEA Trade Sales Head & Trade Sales Lead based in Frankfurt in the end-to-end ownership of a portfolio of clients and bankers, responsible for Trade business development, management of client strategies, origination of profitable business in line with those strategies, client advisory, portfolio management, and issue resolution working closely with Corporate Bankers, Credit, Operations, Trade and various internal business partners across Lines of Business.
Key Responsibilities

Support through the cycle of deal prospecting to closure and contribute to driving revenues on existing facilities
Prepare client marketing materials, review with product partners, compliance etc. Work with the sales leads to prepare informal or formal responses to client requests (including RFP/RFI responses, term sheets, and presentations)
Compare various financing alternatives and the pros and cons of each
Create new deals and keep Dealworks deals updated throughout the deal life cycle
Price and model deal scenarios using the Loan Return Calculator
Create deal write-ups to approach partners internally as well as support internal approval processes with deal proposal packages
Participate in client calls where appropriate
Produce pipeline reporting and provide analytics to senior Global Trade management
Provide support on new Global Trade initiatives and ad hoc projects across the EMEA team as required

Skills you will learn/acquire
Gain important business writing and verbal communication skills
Developing structuring skills to match the client needs with the various Trade Financing solutions
Grow understanding of risk & credit and how/why JPMorgan approves new exposure and manages its balance sheet
Gain experience with clients
Showcase and gain leadership acting as a go-to person for certain aspects of a deal

Essential Skills
Language skills : Fluency in German and English
Strong knowledge of Microsoft Office
Logical, analytical and organized
Ability to meet deadlines and able to work under pressure
Flexible
Good communication skills
Strong team player and ability to work in a matrix organisation
Good attention to detail
Pro-active, high energy and willing to challenge

Desired Skills
Any additional language skills French, Italian
Knowledge of other financial tools e.g. Bloomberg, Capital IQ
J.P. Morgan is a global leader in financial services, providing strategic advice and products to the world's most prominent corporations, governments, wealthy individuals and institutional investors. Our first-class business in a first-class way approach to serving clients drives everything we do. We strive to build trusted, long-term partnerships to help our clients achieve their business objectives.
We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.",27Dec2021-11:33:02
job_d1331b8ee964edd9,"Customer Data Analyst (w/m/d)
- job post",dm-drogerie markt,,,"Einleitungstext
Unser Customer Analytics Team unterstützt unsere Kolleg:innen mit datenbasierten Insights bei Fragestellungen rund um unsere Kund:innen. Wir werten aus, wer bei uns einkauft und wer unsere Services nutzt. Im Fokus stehen dabei immer die Interessen und Bedürfnisse unserer Kund:innen. Wir möchten herausfinden welche Themen, Produkte und Trends eine Rolle spielen. Dabei analysieren wir, wie die Reaktion unserer Kund:innen auf unsere Kommunikationsmaßnahmen und Services ausfällt - und auf welchem Weg wir sie dann am besten erreichen können.
Ihre Aufgaben
Aufbereitung der notwendigen Datenbasis für Ad-Hoc-Analysen durch Abfragen, Verknüpfen und Anreichern der relevanten Daten aus verschiedenen Quellen mit SQL und Python
Verantwortung für Entwicklung, Umsetzung und Betrieb von Reportingtabellen
Umgang mit Data Warehouse Lösungen, sowie Open Source Tools (z.B. Hadoop und Zeppelin)
Analyse, Interpretation und Aufbereitung von Daten zu Marketingmaßnahmen, Kundenverhalten und Ableitung von konkreten Handlungsempfehlungen
Initiierung von und Mitarbeit in datengetriebenen Projekten
Enge Zusammenarbeit mit unserer IT-Tochter dmTECH
Beratung unserer Sortiments-, Kommunikations- und eCommerce Teams zu analytischen Fragestellungen
Das bringen Sie mit
Mehrjährige Berufserfahrung als Data Analyst oder in einem vergleichbaren analytischen Bereich
Hervorragende analytische Fähigkeiten sowie starke Affinität zu Zahlen und Kennzahlenentwicklung
Fundierte Kenntnisse für relationale Datenbanken und Verständnis im Umgang mit großen Datenmengen, insbesondere deren Abfrage und Aufbereitung in Datenbanksystemen mittels SQL
Gute Kenntnisse einer gängigen statistischen Programmiersprache wie Python, SAS oder R
Idealerweise erste Erfahrungen mit Data Lake Technologien und deren Zusammenspiel mit klassischen Data Warehouse-Umgebungen
Teamfähigkeit, Eigeninitiative, eine selbstständige und ergebnisorientierte Arbeitsweise sowie Freude an neuen Technologien und der Kommunikation mit unseren internen Stakeholdern
Das bieten wir Ihnen
Attraktive Arbeitsbedingungen: Mit flexiblen Arbeitszeiten, einer 37,5 Std.-Woche, 30 Urlaubstagen und Homeoffice (mobiles Arbeiten) ermöglichen wir eine ausgewogene Work-Life-Balance.
Moderne Unternehmenszentrale : Helle Büroflächen, höhenverstellbare Tische, neueste Technik und ein Mitarbeiterrestaurant – unser dialogicum bietet ideale Bedingungen für Ihren Arbeitstag dank innovativer Ausstattung und intelligenter Konzepte.
Optimale Verkehrsanbindung: In direkter Nähe zur Autobahn, einer S-Bahn-Haltestelle und dem DB-Bahnhof Durlach gelegen, sind wir mit PKW und Bahn sehr gut erreichbar. Zudem gibt es ein kostenloses Parkhaus und eine Fahrradgarage, jeweils mit Elektro-Ladestationen.
Dialogische Unternehmenskultur : Unsere Arbeitsgemeinschaft ist geprägt durch den gegenseitigen Austausch auf Augenhöhe, Dynamik und flache Hierarchien. Ein zentraler Baustein unserer Zusammenarbeitskultur ist die Eigenverantwortung.
Mitgestaltung und Entwicklung: Bei uns kann sich jeder einbringen und dazu beitragen, Themen voranzutreiben. Zur fachlichen und persönlichen Entwicklung bieten wir vielfältige Weiterbildungsangebote an.
Weitere Vorteile und Zusatzleistungen: Profitieren Sie von weiteren Leistungen wie Mitarbeiterrabatt, Fahrrad-Leasing (Jobrad), Urlaubs- und Weihnachtsgeld sowie betrieblicher Altersvorsorge.
Bitte beachten Sie, dass wir zur Bearbeitung Ihrer Bewerbung die Angabe Ihrer Gehaltsvorstellung und Ihres frühestmöglichen Eintrittstermins benötigen.",27Dec2021-11:33:08
sj_fe43c7151b18ac1b,"Business Intelligence Analyst/Data Scientist (m/w/d)
- job post",SKOPOS GROUP,Hürth•Vorübergehend im Homeoffice,"Vollzeit, Festanstellung","Daten sind für uns nicht gleich Daten. Bei SKOPOS ELEMENTS unterstützen talentierte Data Scientists zukunftsorientierte Unternehmen und Menschen bei ihrem Weg zur Data Driven Company - immer erfolgsorientiert. Als Teil der SKOPOS GROUP sind wir seit 1995 führender Anbieter in der Marktforschung und beschäftigen aktuell über 120 Mitarbeitende. Begleite unser Wachstum und nutze Deine Karrieremöglichkeit in unserem Data-Science-Team in Hürth bei Köln. Wir suchen Dich als Teamworker mit Herzblut.
Das sind Deine Aufgaben
Du machst Daten und Insights für unsere Kunden erlebbar. Von der Datenaufbereitung über Analysen bis hin zum Aufbau individueller Reporting-Lösungen für unsere Kunden: Deine Arbeit befähigt unsere Auftraggeber, datenstützte Entscheidungen zu treffen.
Du entwickelst im Rahmen unserer Kundenprojekte ETL-Pipelines für automatisierte Datenintegration und -aufbereitung mittels Alteryx. Du erstellst zielgruppenorientierte Reporting-Lösungen in Tableau oder PowerBI und berätst unsere Kunden zum optimalen Einsatz in ihrem Unternehmen.
Du steuerst dabei die Projekte, stellst die Qualität der Umsetzung sicher und stehst im direkten Austausch mit unseren Kunden.
Du arbeitest eng mit unseren Ansprechpersonen auf Kundenseite und dem Data-Science-Team zusammen.
Das bringst Du mit
Du hast Dein Studium in Wirtschaftsmathematik, Wirtschaftsinformatik, empirischer Sozialwissenschaft (z.B. mit Schwerpunkt Data Science/Machine Learning, Statistik, Psychologie, Soziologie) oder einem vergleichbaren Fach erfolgreich abgeschlossen.
Du bringst Erfahrungen in der Nutzung aktueller BI-Tools wie Tableau oder Microsoft Power BI mit. Data-Engineering mittels Software-Lösungen wie KNIME oder Alteryx ist Dir nicht fremd. Alternativ verfügst Du über grundlegende Kenntnisse in SQL, Python oder R.
Du arbeitest strukturiert, bist kommunikationsstark und behältst in parallel laufenden Projekten den Überblick.
Du wendest Deine sehr guten Deutsch- und Englischkenntnisse (beides mindestens C1-Niveau) sicher an.
Du bist neugierig und teilst unsere Mission ""Mehr aus Daten rausholen"".
Du bist Teil unseres Teams. Gemeinsam blicken wir über den Tellerrand klassischer Business-Intelligence-Fragestellungen: Die Integration von Customer Experience, BI-Daten und Market Intelligence ermöglicht unseren Kunden einen ganzheitlichen Blick.
Warum wir?
Innovative, dynamische Arbeitsatmosphäre. Freue Dich auf eine offene Du-Unternehmenskultur und Kommunikation auf Augenhöhe.
Systematische Entwicklung. Zyklische Feedbackgespräche (Einarbeitungs-/Jahres-und Halbjahresgespräche, systematische Entwicklungsmöglichkeiten, SKOPOS School. Do it together.
Aktive Mitgestaltung und Teamwork. Eigene Ideen und Erfahrungen zu neuen Produkten entwickeln. Wir wachsen gemeinsam.
Unbefristete Festanstellung.
Optimale ÖPNV-Anbindung oder kostenfreier Parkplatz im Euronova Campus Hürth.
Mobile Office möglich.
Zuschüsse und Life-Balance. Zuschüsse zu Jobticket, Büromassage und Fitness-Studio, Beteiligung an betrieblicher Altersvorsorge, freier Rosenmontag und noch einiges mehr.
Art der Stelle: Vollzeit, Festanstellung
Arbeitszeiten:
Keine Wochenenden
Montag bis Freitag
Leistungen:
Betriebliche Altersvorsorge
Betriebliche Weiterbildung
Betriebsarzt
Betriebsfeiern
Empfehlungsprogramm
Homeoffice
Kostenlose Getränke
Kostenlose Massagen
Kostenloser Parkplatz
Mentoring-Programm für Mitarbeiter
Sabbatical
Zusätzliche Urlaubstage
Sonderzahlung:
Provision
Homeoffice:
Temporär, aufgrund von COVID-19",27Dec2021-11:33:13
job_4047847b69784f27,"Data Analyst im User Lab (m/w/d)
- job post",Innovations- und Digitalagentur (ida),,"Vollzeit, Teilzeit, Festanstellung","Als Innovations- und Digitalagentur lösen wir für unsere Kund: innen komplexe Probleme und finden kreative Lösungen. Während sich bei unserer Arbeit vieles ums Digitale dreht, dreht sich bei uns im Team alles um die Menschen, mit denen wir gemeinsam arbeiten. Denn wir wissen: Gute Arbeit braucht ein gutes Umfeld.
Und was wir auch wissen: Das Leben ist, wie es ist – und Lebensläufe sind nicht immer geradlinig. Das ist auch gut so, denn wir suchen keine CVs, sondern Personen mit Charakter: Die lieben, was sie tun. Die sich trauen, Neues zu probieren. Die auch mal scheitern. Ganz einfach Menschen mit einer unerschütterlichen Leidenschaft für Qualität.
Das erwartet dich bei ida:
Du bist Teil unseres User Labs und baust das Kompetenzfeld datengestützte Beratung aus, indem du Nutzer: innen-Daten von Websites, Apps oder Social-Media-Plattformen analysierst, komplexe Zusammenhänge erkennst und die richtigen Schlüsse daraus ziehst.
Von der Projektanbahnung bis zum Projektabschluss – du stehst unseren Kund: innen kontinuierlich beratend zur Seite.
Du bist für das Projektmanagement deiner Projekte selbst verantwortlich, kommunizierst daher auch zielgerichtet mit unseren Kund: innen, tauschst dich aber auch regelmäßig mit dem Team aus. Better together und so…
Du arbeitest nicht nur mit unseren Kund: innen, sondern auch mit anderen ida-Teams (z.B. SEO, BI, Product oder Audience Development) eng zusammen.
Remote oder Office? Wir können beides, ganz wie du willst.
Du hast die Möglichkeit, u.a. die Angebote der öffentlich-rechtlichen Rundfunkanstalten maßgeblich mitzugestalten und zu verbessern – und kannst so einen positiven Beitrag für unsere Gesellschaft leisten.
Das bringst du mit:
Du verfügst über handfeste Kenntnisse in der Analyse größerer Datenmengen, zum Beispiel mittels statistischer Methoden.
Wenn wir uns was wünschen dürften, dann hast du bereits mehrjährige Berufserfahrung in der Medienwelt oder einer Agentur im Gepäck.
Du hast Grundkenntnisse in der Anwendung von qualitativen-empirischen Forschungsmethoden oder Lust, dich darin weiterzuentwickeln.
Du arbeitest selbstständig und kannst dich und dein Projektteam managen.
Du bringst dein Fachwissen aktiv im ganzen Unternehmen ein und unterstützt uns dabei, noch dateninformierter zu arbeiten.
Du kannst präsentieren, moderieren und vielleicht sogar Workshops leiten? Ausgezeichnet!
Dass du für diese Rolle erstklassige Kommunikationsfähigkeiten und auch Empathie brauchst, müssen wir eigentlich hier nicht aufschreiben. Jetzt haben wir’s doch gemacht. Nun ja. Sicher ist sicher.
Du sagst, das könnte passen? Dann lass uns miteinander reden! Schick deine Bewerbung mit deinem Lebenslauf, frühestmöglichem Eintrittstermin und deiner Gehaltsvorstellung direkt an unsere Kollegin Lovis.
Achtung: Bewirb Dich am besten über folgenden Link: https://ida.jobs.personio.de/job/491063?_pc=375499#apply
Art der Stelle: Vollzeit, Teilzeit, Freie Mitarbeit, Festanstellung
Arbeitszeiten:
Montag bis Freitag
Leistungen:
Betriebliche Weiterbildung
Betriebsfeiern
Flexible Arbeitszeiten
Homeoffice
Homeoffice:
Ja",27Dec2021-11:33:18
job_e0d652eb0e3bcf4e,"(Junior) Business Analyst (m/w/d) in der Unternehmensberatung
- job post",SKS Unternehmensberatung,Frankfurt am Main,Vollzeit,"Die SKS Group zählt zu den führenden mittelständischen Beratungsgesellschaften Deutschlands. Innerhalb der Gruppe (SKS Advisory, SKS Solutions, SKS Data Vision, SKS AT und interexa) beschäftigen wir ca. 300 festangestellte Mitarbeiter. Wir beraten und unterstützen unsere Kunden aus dem Finanzsektor mit strategischen Analysen und Konzeptionen bei der technischen Abbildung regulatorischer Anforderungen des Finanzmarktes.
(Junior) Business Analyst (m/w/d) in der Unternehmensberatung
Vollzeit
Frankfurt am Main, Deutschland
Ohne Berufserfahrung
23.12.21
Deine Perspektiven
Du legst Wert auf eine Unternehmenskultur, in der flache Hierarchien sowie Kommunikation auf Augenhöhe tatsächlich gelebt werden? Dir ist es wichtig, Deine Ideen einzubringen, Dinge mit zu gestalten und Verantwortung zu übernehmen? Dann bist Du bei SKS genau richtig!
Wir bieten Dir:
Individuelle Karriereplanung
Unterstützendes Mentoring Programm
Flexibles Wohnort Konzept
Langfristige Perspektive durch unbefristete Festanstellung
Kollegiales Miteinander & regelmäßige Mitarbeiterevents
Mobiles Arbeiten
Deine Aufgaben
Gemeinsam mit Deinem Team begleitest du große, international tätige Kreditinstitute bei der Umsetzung aktueller regulatorischer Neuerungen
Du analysierst Prozesse, Methoden und Systeme
Du beschreibst detaillierte Anforderungen an die Umsetzung in IT-Systemen, erstellst Konzepte und unterstützt Dein Team beim Testen
Deine Tätigkeiten erledigst Du hauptsächlich in einem agilen Projektumfeld
Dein Profil
Um bei uns als (Junior) Business Analyst (m/w/d) in der Unternehmensberatung an Bord zu kommen, hast Du Dein Bachelor- oder Masterstudium mit sehr guten Noten abgeschlossen - vorzugsweise in einer MINT-Fachrichtung, der (Wirtschafts-)Informatik oder der Wirtschaftswissenschaften mit Finanzschwerpunkt
Deine Expertise konntest Du z.B. durch einschlägige Praktika bereits unter Beweis stellen
Du bringst eine hohe IT-Affinität mit
Starke Lösungsorientierung und Hands-on-Mentalität zeichnen Dich aus
Du verfügst über sehr gute Deutsch- und Englischkenntnisse
Daneben bringst Du Reisebereitschaft mit, um unsere Kunden bei Bedarf auch vor Ort beraten zu können
Deine Bewerbung
Wenn Du über ausgeprägte analytische Fähigkeiten und ein hohes Maß an Qualitätsbewusstsein verfügst, kommunikationsstark und kundenorientiert bist, dann erreichst Du mit uns neue Ziele! Wir freuen uns auf Deine aussagekräftige Bewerbung unter Angabe Deines frühestmöglichen Eintrittstermins und Deiner Gehaltsvorstellung.
Dein Kontakt:
Theresa Kern
Senior Recruiter
career@sks-group.eu
Mobil: +49 (0) 162 286 2067
Art der Stelle: Vollzeit",27Dec2021-11:33:23
